id,receipt_no,corp_code,corp_name,stock_code,report_name,event_date,market,t0_close,t+1_close,t+2_close,t+5_close,ret_1d,ret_2d,ret_5d,error,disclosure_id,contract_value_krw,prior_year_revenue_krw,contract_to_revenue_ratio,validation_status
80874,20260326900300,374738,위세아이텍,065370,단일판매ㆍ공급계약체결,2026-03-26,KOSDAQ,4940.0,4980.0,4875.0,4675.0,0.0080971659919029,-0.0131578947368421,-0.0536437246963562,,80874,5618000000.0,35028457232,0.1604,ok
23579,20260423900518,374738,위세아이텍,065370,단일판매ㆍ공급계약체결(자율공시),2026-04-23,KOSDAQ,5480.0,5520.0,5520.0,5310.0,0.0072992700729928,0.0072992700729928,-0.031021897810219,,23579,3090000000.0,38258327979,0.0808,ok
16283,20260504900423,374738,위세아이텍,065370,단일판매ㆍ공급계약체결,2026-05-04,KOSDAQ,5310.0,5320.0,5120.0,4820.0,0.0018832391713747,-0.0357815442561205,-0.0922787193973634,,16283,3925800000.0,38258327979,0.1026,ok
80824,20260326900367,1080252,넥스틴,348210,단일판매ㆍ공급계약체결(자율공시),2026-03-26,KOSDAQ,74800.0,73000.0,68400.0,64700.0,-0.0240641711229946,-0.0855614973262032,-0.1350267379679144,,80824,10606000000.0,113719875873,0.0933,ok
80616,20260326900625,120906,에스아이리소스,065420,단일판매ㆍ공급계약체결,2026-03-26,KOSDAQ,207.0,248.0,225.0,288.0,0.1980676328502415,0.0869565217391303,0.3913043478260869,,80616,3969000000.0,10538164218,0.3766,ok
32672,20260413900364,120906,에스아이리소스,065420,단일판매ㆍ공급계약체결,2026-04-13,KOSDAQ,257.0,248.0,244.0,299.0,-0.0350194552529182,-0.0505836575875486,0.1634241245136187,,32672,4383000000.0,20851578595,0.2102,ok
22852,20260424900209,120906,에스아이리소스,065420,단일판매ㆍ공급계약체결,2026-04-24,KOSDAQ,285.0,282.0,308.0,286.0,-0.0105263157894737,0.0807017543859649,0.0035087719298245,,22852,8112000000.0,20851578595,0.389,ok
78082,20260327900355,364467,드림어스컴퍼니,060570,단일판매ㆍ공급계약체결(자율공시),2026-03-27,KOSDAQ,1294.0,1262.0,1220.0,1251.0,-0.0247295208655332,-0.0571870170015456,-0.0332302936630602,,78082,19500000000.0,225062659788,0.0866,ok
77569,20260327900881,418379,자연과환경,043910,단일판매ㆍ공급계약체결,2026-03-27,KOSDAQ,4960.0,4810.0,4700.0,4820.0,-0.0302419354838709,-0.0524193548387096,-0.0282258064516128,,77569,4130000000.0,40733432025,0.1013,ok
14313,20260508900203,418379,자연과환경,043910,단일판매ㆍ공급계약체결,2026-05-08,KOSDAQ,4930.0,4930.0,4930.0,4930.0,0.0,0.0,0.0,,14313,3953693418.0,37308755838,0.106,ok
77328,20260327901308,117966,동원개발,013120,단일판매ㆍ공급계약체결,2026-03-27,KOSDAQ,3045.0,2920.0,2875.0,2815.0,-0.0410509031198685,-0.0558292282430213,-0.0755336617405583,,77328,69063008335.0,520374333203,0.13269999999999998,ok
76840,20260327902001,1078178,RFHIC,218410,단일판매ㆍ공급계약체결,2026-03-27,KOSDAQ,82400.0,78700.0,75000.0,89000.0,-0.0449029126213592,-0.0898058252427184,0.0800970873786408,,76840,19229999940.0,114875963020,0.1674,ok
