id,receipt_no,corp_code,corp_name,stock_code,report_name,event_date,market,t0_close,t+1_close,t+2_close,t+5_close,ret_1d,ret_2d,ret_5d,error
1231925,20211230800071,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2021-12-30,KOSPI,14600.0,14450.0,14400.0,14750.0,-0.010273972602739767,-0.013698630136986356,0.010273972602739656,
1230355,20220103800138,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-01-03,KOSPI,14450.0,14400.0,14500.0,14900.0,-0.0034602076124568004,0.0034602076124568004,0.03114186851211076,
1230229,20220103800268,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-01-03,KOSPI,14450.0,14400.0,14500.0,14900.0,-0.0034602076124568004,0.0034602076124568004,0.03114186851211076,
1182474,20220318800319,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-03-18,KOSPI,14400.0,14200.0,14250.0,14100.0,-0.01388888888888884,-0.01041666666666663,-0.02083333333333337,
1148775,20220407800302,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-04-07,KOSPI,13300.0,13350.0,13350.0,13400.0,0.003759398496240518,0.003759398496240518,0.007518796992481258,
1138816,20220412800266,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-04-12,KOSPI,13350.0,13400.0,13400.0,13500.0,0.0037453183520599342,0.0037453183520599342,0.011235955056179803,
1135473,20220413800576,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-04-13,KOSPI,13400.0,13400.0,13500.0,13350.0,0.0,0.00746268656716409,-0.003731343283582045,
1130943,20220419800418,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-04-19,KOSPI,13500.0,13350.0,13350.0,13250.0,-0.011111111111111072,-0.011111111111111072,-0.01851851851851849,
1128531,20220504800065,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-05-04,KOSPI,13050.0,12800.0,12550.0,12750.0,-0.019157088122605415,-0.03831417624521072,-0.02298850574712641,
1114540,20220530800697,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-05-30,KOSPI,12850.0,13000.0,12900.0,12800.0,0.011673151750972721,0.0038910505836575737,-0.0038910505836575737,
1114536,20220530800702,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-05-30,KOSPI,12850.0,13000.0,12900.0,12800.0,0.011673151750972721,0.0038910505836575737,-0.0038910505836575737,
1098811,20220629800690,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-06-29,KOSPI,11000.0,11050.0,11100.0,10650.0,0.00454545454545463,0.009090909090909038,-0.03181818181818186,
1089673,20220720800436,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-07-20,KOSPI,10600.0,10700.0,10600.0,10550.0,0.009433962264151052,0.0,-0.004716981132075526,
1063381,20220914800227,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-09-14,KOSPI,10200.0,10250.0,10050.0,10050.0,0.004901960784313708,-0.014705882352941124,-0.014705882352941124,
1019756,20221215801438,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-12-15,KOSPI,8330.0,8190.0,8020.0,7880.0,-0.01680672268907568,-0.037214885954381716,-0.0540216086434574,
1012845,20221229800199,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2022-12-29,KOSPI,7260.0,6780.0,6730.0,7190.0,-0.06611570247933884,-0.07300275482093666,-0.009641873278236957,
989240,20230221800304,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2023-02-21,KOSPI,7360.0,7280.0,7280.0,7100.0,-0.010869565217391353,-0.010869565217391353,-0.03532608695652173,
890859,20230516800335,00115612,동부건설,005960,단일판매ㆍ공급계약체결(자율공시),2023-05-16,KOSPI,6860.0,6940.0,7020.0,7170.0,0.011661807580174877,0.023323615160349753,0.04518950437317781,
888525,20230523800204,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2023-05-23,KOSPI,7170.0,7930.0,7560.0,7270.0,0.10599721059972111,0.05439330543933063,0.013947001394700065,
879919,20230602800546,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2023-06-02,KOSPI,7350.0,7560.0,7550.0,7450.0,0.02857142857142847,0.027210884353741527,0.013605442176870763,
